date,event,type,team,location,year,month,day,day_of_week,day_name,is_weekend,start_hour
2021-09-29 19:10:00-04:00,Mets vs Miami Marlins (Home),Sports,Mets,Home,2021,9,29,2,Wednesday,False,19
2021-09-30 19:07:00-04:00,Yankees vs Toronto Blue Jays (Away),Sports,Yankees,Away,2021,9,30,3,Thursday,False,19
2021-09-30 19:10:00-04:00,Mets vs Miami Marlins (Home),Sports,Mets,Home,2021,9,30,3,Thursday,False,19
2021-10-01 19:00:00-04:00,"Jets vs Sun, Nov 14 (Home)",Sports,Jets,Home,2021,10,1,4,Friday,False,19
2021-10-01 19:00:00-04:00,Giants vs BYE WEEK (Home),Sports,Giants,Home,2021,10,1,4,Friday,False,19
2021-10-01 19:05:00-04:00,Yankees vs Tampa Bay Rays (Home),Sports,Yankees,Home,2021,10,1,4,Friday,False,19
2021-10-01 19:20:00-04:00,Mets vs Atlanta Braves (Away),Sports,Mets,Away,2021,10,1,4,Friday,False,19
2021-10-02 13:05:00-04:00,Yankees vs Tampa Bay Rays (Home),Sports,Yankees,Home,2021,10,2,5,Saturday,True,13
2021-10-02 19:15:00-04:00,Mets vs Atlanta Braves (Away),Sports,Mets,Away,2021,10,2,5,Saturday,True,19
2021-10-03 15:05:00-04:00,Yankees vs Tampa Bay Rays (Home),Sports,Yankees,Home,2021,10,3,6,Sunday,True,15
2021-10-03 15:20:00-04:00,Mets vs Atlanta Braves (Away),Sports,Mets,Away,2021,10,3,6,Sunday,True,15
2021-10-11 00:00:00-04:00,Columbus Day,Holiday,,,2021,10,11,0,Monday,False,0
2021-11-01 19:00:00-04:00,"Giants vs Mon, Nov 22 (Home)",Sports,Giants,Home,2021,11,1,0,Monday,False,19
2021-11-01 19:00:00-04:00,"Jets vs Sun, Nov 21 (Home)",Sports,Jets,Home,2021,11,1,0,Monday,False,19
2021-11-11 00:00:00-05:00,Veterans Day,Holiday,,,2021,11,11,3,Thursday,False,0
2021-11-25 00:00:00-05:00,Thanksgiving Day,Holiday,,,2021,11,25,3,Thursday,False,0
2021-12-01 19:00:00-05:00,"Giants vs Sun, Nov 28 (Home)",Sports,Giants,Home,2021,12,1,2,Wednesday,False,19
2021-12-01 19:00:00-05:00,"Jets vs Sun, Nov 28 (Home)",Sports,Jets,Home,2021,12,1,2,Wednesday,False,19
2021-12-25 00:00:00-05:00,Christmas Day,Holiday,,,2021,12,25,5,Saturday,True,0
2022-01-01 19:00:00-05:00,"Giants vs Thu, Aug 11 (Home)",Sports,Giants,Home,2022,1,1,5,Saturday,True,19
2022-01-01 19:00:00-05:00,"Giants vs Sun, Sep 11 (Home)",Sports,Giants,Home,2022,1,1,5,Saturday,True,19
2022-01-01 19:00:00-05:00,"Jets vs Sun, Sep 11 (Home)",Sports,Jets,Home,2022,1,1,5,Saturday,True,19
2022-01-01 19:00:00-05:00,"Jets vs Fri, Aug 12 (Home)",Sports,Jets,Home,2022,1,1,5,Saturday,True,19
2022-01-01 00:00:00-05:00,New Year's Day,Holiday,,,2022,1,1,5,Saturday,True,0
2022-01-02 19:00:00-05:00,Knicks vs Toronto (Away),Sports,Knicks,Away,2022,1,2,6,Sunday,True,19
